incoming_message_id,candidate_evidence_id,score,threshold,score_margin,qualification_rule,selected,material_relevance,notes,same_receiving_user,exists_in_message_history,duplicate_selected_id,selected_count_for_message,raw_similarity,quantized_similarity
msg_023,message_0102,0.3950,0.0800 score; 0.1300 relational_useful_similarity; 0.3500 text_similarity,0.0850,relational_useful_similarity,1,yes,same business with relational lexical support,1,1,0,3,0.2650180629406308,0.2650
msg_023,message_0092,0.1014,0.0800 score; 0.1300 relational_useful_similarity; 0.3500 text_similarity,0.0214,none,0,no,near threshold but not selected,1,1,0,3,0.07136413844970164,0.0714
msg_023,message_0011,0.1389,0.0800 score; 0.1300 relational_useful_similarity; 0.3500 text_similarity,0.0211,none,0,no,near threshold but not selected,1,1,0,3,0.10892820410104175,0.1089
msg_023,message_0075,0.0664,0.0800 score; 0.1300 relational_useful_similarity; 0.3500 text_similarity,0.0136,none,0,no,near threshold but not selected,1,1,0,3,0.03639156394693811,0.0364
msg_023,message_0243,1.1300,0.0800 score; 0.1300 relational_useful_similarity; 0.3500 text_similarity,0.6500,text_similarity;relational_useful_similarity,1,yes,strong lexical similarity,1,1,0,3,1.0000000000000002,1.0000
msg_023,message_0242,0.1389,0.0800 score; 0.1300 relational_useful_similarity; 0.3500 text_similarity,0.0211,none,0,no,near threshold but not selected,1,1,0,3,0.10892820410104175,0.1089
msg_023,message_0101,0.2950,0.0800 score; 0.1300 relational_useful_similarity; 0.3500 text_similarity,0.0350,relational_useful_similarity,1,yes,same business with relational lexical support,1,1,0,3,0.16503022785031515,0.1650
msg_091,message_0380,0.0782,0.0800 score; 0.1300 relational_useful_similarity; 0.3500 text_similarity,0.0018,none,0,no,near threshold but not selected,1,1,0,1,0.04824272631775812,0.0482
msg_091,message_0238,1.1400,0.0800 score; 0.1300 relational_useful_similarity; 0.3500 text_similarity,0.6500,text_similarity;relational_useful_similarity,1,yes,strong lexical similarity,1,1,0,1,1.0,1.0000
msg_091,message_0320,0.1270,0.0800 score; 0.1300 relational_useful_similarity; 0.3500 text_similarity,0.0030,none,0,no,near threshold but not selected,1,1,0,1,0.12695409420098883,0.1270
