execution,pythonhashseed,incoming_message_id,transcript,enriched_message_text,candidate_message_id,candidate_text_excerpt,query_tokens,candidate_tokens,common_tokens_iteration_order,raw_lexical_similarity,stable_quantized_similarity_used_for_comparison,same_sender,same_group,same_business,same_media,useful_reaction,negative_reaction,metadata_boosts,final_score_raw,final_score_quantized,eligibility_rule,threshold,selected,final_sort_key,material_relevance,notes,selected_evidence_ids_for_execution
post_fix_repo_cached_root_matching_transcript,,msg_082,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0218,"Checkout errors are spiking again. Please join the incident bridge now, payments are failing for live users.",checkout error or steyr spiking again please join the incident bridge now payments are failing for live users,checkout errors are spiking again please join the incident bridge now payments are failing for live users,again are bridge checkout failing for incident join live now payments please spiking the users,0.9003118683403766,0.9003,1,1,0,0,1,0,same_sender:+0.08;same_group:+0.08;same_conversation_type:+0.03,1.0903118683403765,1.0903,quantized_similarity>=0.35;quantized_similarity>=0.13_and_relational_and_useful,0.0800,1,-1.0903|message_0218,yes,same incident/payment-failure topic and same operational group/sender,message_0218;message_0380
post_fix_repo_cached_root_matching_transcript,,msg_082,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0321,"Security profile update

Firewall profile has documented a port filtering adjustment, 442801.

Verify to continue.",checkout error or steyr spiking again please join the incident bridge now payments are failing for live users,security profile update firewall profile has documented port filtering adjustment 442801 verify to continue,,0.0,0.0000,0,0,0,0,1,1,negative_reaction:+0.03,0.03,0.0300,none,0.0800,0,-0.0300|message_0321,no,not selected,message_0218;message_0380
post_fix_repo_cached_root_matching_transcript,,msg_082,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0380,Please check the AWS finding now. The IAM role touched production billing export and the alert is marked high.,checkout error or steyr spiking again please join the incident bridge now payments are failing for live users,please check the aws finding now the iam role touched production billing export and the alert is marked high,now please the,0.13075595744291693,0.1308,1,0,0,0,1,0,same_sender:+0.08,0.21075595744291692,0.2108,quantized_similarity>=0.13_and_relational_and_useful,0.0800,1,-0.2108|message_0380,yes,"same sender and urgent production/alert context, weaker but useful operational precedent",message_0218;message_0380
post_fix_repo_cached_root_matching_transcript,,msg_082,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0397,Incident review invite attached. Please check the guest list and RSVP before standup.,checkout error or steyr spiking again please join the incident bridge now payments are failing for live users,incident review invite attached please check the guest list and rsvp before standup,incident please the,0.1175508013059637,0.1176,1,1,0,0,1,0,same_sender:+0.08;same_group:+0.08;same_conversation_type:+0.03,0.3075508013059637,0.3076,none,0.0800,0,-0.3076|message_0397,no,incident-review invite/RSVP; weak overlap stays below relational evidence threshold,message_0218;message_0380
post_fix_repo_cached_root_matching_transcript,,msg_082,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0238,Your workspace access will expire today. Reply with the 6 digit login code you just received so we can keep your account active.,checkout error or steyr spiking again please join the incident bridge now payments are failing for live users,your workspace access will expire today reply with the digit login code you just received so we can keep your account active,the,0.017281548874019656,0.0173,0,0,0,0,1,1,negative_reaction:+0.03,0.047281548874019655,0.0473,none,0.0800,0,-0.0473|message_0238,no,not selected,message_0218;message_0380
post_fix_repo_cached_root_matching_transcript,,msg_082,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0320,"Hello,

We are sharing an update about your cloud security workspace.

Please review the finding details, affected resource, and recommended action in the console.

Team AWS Securi",checkout error or steyr spiking again please join the incident bridge now payments are failing for live users,hello we are sharing an update about your cloud security workspace please review the finding details affected resource and recommended action in the console team aws security hub,are please the,0.09288555092632499,0.0929,0,0,0,0,1,0,none,0.09288555092632499,0.0929,none,0.0800,0,-0.0929|message_0320,no,not selected,message_0218;message_0380
post_fix_repo_cached_root_matching_transcript,,msg_082,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0047,"Dear Customer,

Your health-related update is ready for review.

Please check appointment, prescription, claim, or pickup details in the registered app before the scheduled time.

",checkout error or steyr spiking again please join the incident bridge now payments are failing for live users,dear customer your health related update is ready for review please check appointment prescription claim or pickup details in the registered app before the scheduled time team care services,for or please the,0.1470077406141695,0.1470,0,0,0,0,1,0,none,0.1470077406141695,0.1470,none,0.0800,0,-0.1470|message_0047,no,not selected,message_0218;message_0380
post_fix_repo_cached_root_matching_transcript,,msg_082,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0381,Firewall profile update pending. Verify your admin password here to continue.,checkout error or steyr spiking again please join the incident bridge now payments are failing for live users,firewall profile update pending verify your admin password here to continue,,0.0,0.0000,0,0,0,0,1,1,negative_reaction:+0.03,0.03,0.0300,none,0.0800,0,-0.0300|message_0381,no,not selected,message_0218;message_0380
post_fix_repo_cached_root_matching_transcript,,msg_082,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0035,"Uploading festival pics here. Download your family ones when free, I may delete album Sunday.",checkout error or steyr spiking again please join the incident bridge now payments are failing for live users,uploading festival pics here download your family ones when free may delete album sunday,,0.0,0.0000,0,0,0,0,1,0,same_conversation_type:+0.03,0.03,0.0300,none,0.0800,0,-0.0300|message_0035,no,not selected,message_0218;message_0380
post_fix_repo_cached_root_matching_transcript,,msg_082,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Checkout error or Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0322,Guaranteed 3 percent daily return in crypto arbitrage. First 20 members get private entry link.,checkout error or steyr spiking again please join the incident bridge now payments are failing for live users,guaranteed percent daily return in crypto arbitrage first 20 members get private entry link,,0.0,0.0000,0,0,0,0,1,1,same_conversation_type:+0.03;negative_reaction:+0.03,0.06,0.0600,none,0.0800,0,-0.0600|message_0322,no,not selected,message_0218;message_0380
post_fix_cleanroom_cached_previous_differing_transcript,,msg_082,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0218,"Checkout errors are spiking again. Please join the incident bridge now, payments are failing for live users.",checkout error steyr spiking again please join the incident bridge now payments are failing for live users,checkout errors are spiking again please join the incident bridge now payments are failing for live users,again are bridge checkout failing for incident join live now payments please spiking the users,0.9348062696721932,0.9348,1,1,0,0,1,0,same_sender:+0.08;same_group:+0.08;same_conversation_type:+0.03,1.1248062696721932,1.1248,quantized_similarity>=0.35;quantized_similarity>=0.13_and_relational_and_useful,0.0800,1,-1.1248|message_0218,yes,same incident/payment-failure topic and same operational group/sender,message_0218;message_0380
post_fix_cleanroom_cached_previous_differing_transcript,,msg_082,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0321,"Security profile update

Firewall profile has documented a port filtering adjustment, 442801.

Verify to continue.",checkout error steyr spiking again please join the incident bridge now payments are failing for live users,security profile update firewall profile has documented port filtering adjustment 442801 verify to continue,,0.0,0.0000,0,0,0,0,1,1,negative_reaction:+0.03,0.03,0.0300,none,0.0800,0,-0.0300|message_0321,no,not selected,message_0218;message_0380
post_fix_cleanroom_cached_previous_differing_transcript,,msg_082,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0380,Please check the AWS finding now. The IAM role touched production billing export and the alert is marked high.,checkout error steyr spiking again please join the incident bridge now payments are failing for live users,please check the aws finding now the iam role touched production billing export and the alert is marked high,now please the,0.13576571976103033,0.1358,1,0,0,0,1,0,same_sender:+0.08,0.21576571976103032,0.2158,quantized_similarity>=0.13_and_relational_and_useful,0.0800,1,-0.2158|message_0380,yes,"same sender and urgent production/alert context, weaker but useful operational precedent",message_0218;message_0380
post_fix_cleanroom_cached_previous_differing_transcript,,msg_082,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0397,Incident review invite attached. Please check the guest list and RSVP before standup.,checkout error steyr spiking again please join the incident bridge now payments are failing for live users,incident review invite attached please check the guest list and rsvp before standup,incident please the,0.12205462343662069,0.1221,1,1,0,0,1,0,same_sender:+0.08;same_group:+0.08;same_conversation_type:+0.03,0.3120546234366207,0.3121,none,0.0800,0,-0.3121|message_0397,no,incident-review invite/RSVP; weak overlap stays below relational evidence threshold,message_0218;message_0380
post_fix_cleanroom_cached_previous_differing_transcript,,msg_082,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0238,Your workspace access will expire today. Reply with the 6 digit login code you just received so we can keep your account active.,checkout error steyr spiking again please join the incident bridge now payments are failing for live users,your workspace access will expire today reply with the digit login code you just received so we can keep your account active,the,0.017943671304544436,0.0179,0,0,0,0,1,1,negative_reaction:+0.03,0.04794367130454444,0.0479,none,0.0800,0,-0.0479|message_0238,no,not selected,message_0218;message_0380
post_fix_cleanroom_cached_previous_differing_transcript,,msg_082,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0320,"Hello,

We are sharing an update about your cloud security workspace.

Please review the finding details, affected resource, and recommended action in the console.

Team AWS Securi",checkout error steyr spiking again please join the incident bridge now payments are failing for live users,hello we are sharing an update about your cloud security workspace please review the finding details affected resource and recommended action in the console team aws security hub,are please the,0.09644435269741104,0.0964,0,0,0,0,1,0,none,0.09644435269741104,0.0964,none,0.0800,0,-0.0964|message_0320,no,not selected,message_0218;message_0380
post_fix_cleanroom_cached_previous_differing_transcript,,msg_082,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0047,"Dear Customer,

Your health-related update is ready for review.

Please check appointment, prescription, claim, or pickup details in the registered app before the scheduled time.

",checkout error steyr spiking again please join the incident bridge now payments are failing for live users,dear customer your health related update is ready for review please check appointment prescription claim or pickup details in the registered app before the scheduled time team care services,for please the,0.09507589652137163,0.0951,0,0,0,0,1,0,none,0.09507589652137163,0.0951,none,0.0800,0,-0.0951|message_0047,no,not selected,message_0218;message_0380
post_fix_cleanroom_cached_previous_differing_transcript,,msg_082,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0381,Firewall profile update pending. Verify your admin password here to continue.,checkout error steyr spiking again please join the incident bridge now payments are failing for live users,firewall profile update pending verify your admin password here to continue,,0.0,0.0000,0,0,0,0,1,1,negative_reaction:+0.03,0.03,0.0300,none,0.0800,0,-0.0300|message_0381,no,not selected,message_0218;message_0380
post_fix_cleanroom_cached_previous_differing_transcript,,msg_082,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0035,"Uploading festival pics here. Download your family ones when free, I may delete album Sunday.",checkout error steyr spiking again please join the incident bridge now payments are failing for live users,uploading festival pics here download your family ones when free may delete album sunday,,0.0,0.0000,0,0,0,0,1,0,same_conversation_type:+0.03,0.03,0.0300,none,0.0800,0,-0.0300|message_0035,no,not selected,message_0218;message_0380
post_fix_cleanroom_cached_previous_differing_transcript,,msg_082,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,Check out Error R Steyr spiking again. Please join the incident bridge now. Payments are failing for live users.,message_0322,Guaranteed 3 percent daily return in crypto arbitrage. First 20 members get private entry link.,checkout error steyr spiking again please join the incident bridge now payments are failing for live users,guaranteed percent daily return in crypto arbitrage first 20 members get private entry link,,0.0,0.0000,0,0,0,0,1,1,same_conversation_type:+0.03;negative_reaction:+0.03,0.06,0.0600,none,0.0800,0,-0.0600|message_0322,no,not selected,message_0218;message_0380
